CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS2226;Djedeliane ;156,5361;643,6905;TS222;0;;(1) moins de 10 000;176,5;167,8;52,7;13205;3990;2579;376;656;13043;304,6;0,108
TS2227;El Ayoun ;153,8057;627,7689;TS222;0;;(1) moins de 10 000;190,4;173,2;36,6;18634;0;3601;305;563;19291;403,4;0,005
TS2228;Thala ;135,6085;635,5742;TS222;0;;(2) 10 à 20 000;196,9;189,7;43,2;34508;13968;8298;714;3047;33492;808,3;0,144
TS2229;Hidra ;115,1035;633,749;TS222;0;;(1) moins de 10 000;213,1;210,2;49,4;8716;3109;2685;519;597;8179;449,6;0,078
TS222A;Foussana ;119,9313;607,851;TS222;0;;(1) moins de 10 000;227,7;211,0;27,6;41240;5622;9259;679;1762;42533;918,4;0,112
TS222B;Feriana ;113,1827;572,2916;TS222;0;;(3) 20 à 50000;259,0;208,1;37,5;45787;29990;9637;1150;1769;49349;903,7;0,177
TS222C;Majel Bel Abbès ;119,2051;546,174;TS222;0;;(1) moins de 10 000;276,5;187,5;54,2;21909;5003;4582;364;729;23569;943,4;0,044
TS2230;Sidi Bouzid Ouest  ;202,6212;572,5753;TS223;1;Sidi Bouzid;(3) 20 à 50000;214,7;137,7;1,0;65761;35913;14955;3486;8788;69673;420,2;0,309
TS2231;Sidi Bouzid Est ;218,559;581,0486;TS223;0;Sidi Bouzid;(3) 20 à 50000;201,7;124,8;19,1;48371;4002;10361;1079;2189;52162;778,3;0,231
TS2232;Jilma ;200,5486;610,7926;TS223;0;;(1) moins de 10 000;180,0;134,1;39,3;36861;5405;6665;680;1574;38057;603,1;0,123
TS2233;Cebalet Ouled Asker ;189,301;595,9805;TS223;0;;(1) moins de 10 000;198,1;150,7;27,9;18618;2506;4424;318;557;19342;330,1;0,135
TS2234;Bir El Hafey ;189,7479;560,2524;TS223;0;;(1) moins de 10 000;230,7;147,3;18,8;33979;5589;8208;781;1144;36019;532,3;0,165
TS2235;Sidi Ali Ben Aoûn ;174,2141;546,4429;TS223;0;;(1) moins de 10 000;249,5;146,0;39,6;24896;7403;5628;372;812;26452;685,3;0,158
TS2236;Menzel Bouzaïenne ;201,9938;527,8706;TS223;0;;(1) moins de 10 000;257,4;113,8;45,7;23668;5595;6120;289;1100;24682;556;0,112
TS2237;Meknassy ;222,1494;527,4598;TS223;0;;(2) 10 à 20 000;252,8;102,3;50,2;22617;13742;5578;765;1600;22442;599,6;0,163
TS2238;Souk Jedid ;216,8518;553,9568;TS223;0;;(1) moins de 10 000;228,3;120,5;24,4;19210;0;4034;213;780;18729;345,6;0,042
TS2239;Mezzouna ;237,5885;509,976;TS223;0;;(1) moins de 10 000;267,4;79,7;72,7;22839;6101;4425;444;994;24026;1104,2;0,160
TS223A;Regueb ;243,1629;554,5348;TS223;0;;(1) moins de 10 000;222,5;94,4;45,4;58776;7892;13042;1296;2730;61270;1063,3;0,211
TS223B;Ouled Haffouz ;243,3586;580,3787;TS223;0;;(1) moins de 10 000;196,9;101,5;42,5;19910;2145;5864;504;2017;18020;351,2;0,164
TS3110;Gabes Medina  ;269,1661;442,2285;TS311;1;Gabes;(5) 100 000 à 1 000 000;332,6;5,0;1,0;47057;47057;12096;4586;11031;47426;48,25;0,381
TS3111;Gabes Ouest ;258,8596;436,8635;TS311;0;Gabes;(5) 100 000 à 1 000 000;338,3;16,6;12,6;28389;26270;6720;10096;1369;31561;115;0,345
TS3112;Gabes Sud ;267,9635;432,1717;TS311;0;Gabes;(5) 100 000 à 1 000 000;342,7;15,1;11,1;61699;57148;15309;2296;2401;70553;245;0,404
TS3113;Ghanouch ;265,1057;448,1095;TS311;0;;(3) 20 à 50000;326,9;12,1;8,1;22681;22681;3700;546;509;24609;19;0,312
TS3114;El Metouia ;256,7117;460,1993;TS311;0;;(2) 10 à 20 000;315,1;26,9;22,9;25862;19004;6228;1138;1111;27032;333,35;0,309
TS3115;Menzel El Habib ;225,0188;473,6313;TS311;0;;(1) moins de 10 000;305,2;59,2;55,2;11477;0;2666;385;1275;11215;1131;0,172
TS3116;El Hamma ;219,0682;441,628;TS311;0;;(3) 20 à 50000;337,8;55,1;51,1;62390;34835;13111;1715;2949;63814;2318,6;0,222
TS3117;Matmata ;240,0164;392,3852;TS311;0;;(1) moins de 10 000;384,0;62,7;58,7;5766;2116;2083;298;2440;5220;1185;0,171
TS3118;Nouvelle Matmata ;252,6348;413,1446;TS311;0;;(1) moins de 10 000;362,3;38,5;34,5;15969;6642;5070;1085;825;15211;713;0,151
TS3119;Mareth ;279,9043;407,2773;TS311;0;;(2) 10 à 20 000;367,6;41,6;37,6;61340;16128;15042;1880;2482;63108;1058,06;0,239
TS3120;Medenine Nord  ;296,8845;389,3082;TS312;1;Medenine;(4) 50 à 100 000;386,2;64,7;1,0;48102;40332;12298;4691;5580;52617;324;0,322
TS3121;Medenine Sud ;320,926;387,5087;TS312;0;Medenine;(4) 50 à 100 000;390,1;41,4;25,1;48087;21373;11376;2193;2610;50358;688;0,298
TS3122;Beni Khedech ;270,6446;371,5078;TS312;0;;(1) moins de 10 000;403,3;75,7;32,7;28586;3071;8836;836;2581;26786;1356;0,139
TS3123;Ben Guerdane ;377,8781;333,0333;TS312;0;;(4) 50 à 100 000;453,8;70,5;99,6;70907;58101;16008;2988;3027;73349;4732;0,273
TS3124;Zarzis ;356,5276;394,9745;TS312;0;;(4) 50 à 100 000;388,7;5,0;60,9;73549;70895;21992;3736;2826;77323;867;0,365
TS3125;Djerba Houmet Souk ;342,5234;437,7036;TS312;0;Djerba;(5) 100 000 à 1 000 000;344,0;50,0;67,5;64919;64919;19642;5407;4003;70301;177;0,437
TS3126;Djerba Midoun ;351,8059;428,1518;TS312;0;Djerba;(5) 100 000 à 1 000 000;355,3;38,5;68,3;50459;50459;16046;5700;1831;55067;209;0,390
TS3127;Djerba Ajim ;337,3358;428,2119;TS312;0;Djerba Ajim;(3) 20 à 50000;352,3;43,4;57,1;24166;24166;7015;862;875;24775;128;0,278
TS3128;Sidi Makhloulf ;312,1915;405,2278;TS312;0;;(1) moins de 10 000;371,5;50,5;23,1;23728;0;6795;599;983;22612;686;0,152
