id;name;PIBperinh
SE31;Norra Mellansverige;31866,2840530373
SE32;Mellersta Norrland;31895,0506471733
TR52;Konya;5069,2847865195
SE33;Övre Norrland;33902,0976824799
SI01;Vzhodna Slovenija;14165,0345406286
SI02;Zahodna Slovenija;20718,1250511041
TR22;Balikesir;5856,3308365915
TR31;Izmir;8478,9654083515
TR32;Aydin;6908,8996688152
TR33;Manisa;5814,0871735295
TR41;Bursa;9414,1373726342
TR42;Kocaeli;9568,5735925406
TR51;Ankara;9088,6726567818
TR61;Antalya;7709,5259950912
TR62;Adana;5390,6120539102
TR63;Hatay;3913,172818494
TR71;Kirikkale;4779,6119728018
TR72;Kayseri;4769,598293386
TR81;Zonguldak;7298,9332982942
TR82;Kastamonu;4923,2067184283
TR83;Samsun;4889,0613085366
TR90;Trabzon;4992,529075618
TRA1;Erzurum;3939,5299808943
TRA2;Agri;2759,5674343027
UKF2;Leicestershire, Rutland and Northants;33036,8023397514
TRB1;Malatya;3938,46309621
TRB2;Van;2370,6850479369
TRC1;Gaziantep;3519,8403784523
TRC2;Sanliurfa;2879,7284956474
TRC3;Mardin;2912,0515661787
UKC2;Northumberland, Tyne and Wear;28131,8367055123
UKD1;Cumbria;25766,364551863
UKD2;Cheshire;35583,5080363382
UKD3;Greater Manchester;30297,4980453479
UKD4;Lancashire;25832,7588584034
UKD5;Merseyside;23884,1630298099
UKE1;East Yorkshire and Northern Lincolnshire;26046,5629482511
UKE2;North Yorkshire;29182,037908663
UKE4;West Yorkshire;29855,8400884304
UKF1;Derbyshire and Nottinghamshire;28978,1591263651
UKF3;Lincolnshire;24015,9535895577
UKG1;Herefordshire, Worcestershire and Warks;28977,5620623806
UKG2;Shropshire and Staffordshire;25623,2266578687
UKG3;West Midlands;30314,757878555
UKH1;East Anglia;31876,9030013049
UKH2;Bedfordshire, Hertfordshire;36654,3851171781
UKH3;Essex;28317,651262506
UKI1;Inner London;96460,8585013058
UKI2;Outer London;30728,0123131047
UKJ1;Berkshire, Bucks and Oxfordshire;45061,0570941431
UKJ2;Surrey, East and West Sussex;35301,7142857143
UKJ3;Hampshire and Isle of Wight;33739,182496054
UKJ4;Kent;26938,6884446611
UKK1;Gloucestershire, Wiltshire and Bristol/Bath area;37013,9317520501
UKK2;Dorset and Somerset;28054,3540357463
UKK3;Cornwall and Isles of Scilly;21676,7485822306
UKK4;Devon;25573,7704918033
UKL1;West Wales and The Valleys;21128,9383108287
UKL2;East Wales;31789,9299151605
UKM2;Eastern Scotland;34591,4038943119
UKM3;South Western Scotland;29782,1331700061
UKM5;North Eastern Scotland;44129,6545536115
UKN0;Northern Ireland;26773,3089579525
